id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
191	ERR176661	ERR176661						Mycobacterium tuberculosis							draft	ENA SRA	ERR176661	10990		2	2	2014-12-12	2017-08-24
192	ERR176681	ERR176681						Mycobacterium tuberculosis							draft	ENA SRA	ERR176681	10991		2	2	2014-12-12	2017-08-24
193	ERR176727	ERR176727						Mycobacterium tuberculosis							draft	ENA SRA	ERR176727	10992		2	2	2014-12-12	2017-08-24
194	ERR181905	ERR181905						Mycobacterium tuberculosis							draft	ENA SRA	ERR181905	10993		2	2	2014-12-12	2017-08-24
195	ERR182027	ERR182027						Mycobacterium tuberculosis							draft	ENA SRA	ERR182027	10994		2	2	2014-12-12	2017-08-24
196	ERR072021	ERR072021						Mycobacterium tuberculosis							draft	ENA SRA	ERR072021	10995		2	2	2014-12-12	2017-08-24
197	ERR072075	ERR072075						Mycobacterium tuberculosis							draft	ENA SRA	ERR072075	10996		2	2	2014-12-12	2017-08-24
198	ERR181723	ERR181723						Mycobacterium tuberculosis							draft	ENA SRA	ERR181723	10997		2	2	2014-12-12	2017-08-24
199	ERR072076	ERR072076						Mycobacterium tuberculosis							draft	ENA SRA	ERR072076	10998		2	2	2014-12-12	2017-08-24
200	ERR072107	ERR072107						Mycobacterium tuberculosis							draft	ENA SRA	ERR072107	10999		2	2	2014-12-12	2017-08-24
201	ERR164019	ERR164019						Mycobacterium tuberculosis							draft	ENA SRA	ERR164019	11000		2	2	2014-12-12	2017-08-24
202	ERR163929	ERR163929						Mycobacterium tuberculosis							draft	ENA SRA	ERR163929	11001		2	2	2014-12-12	2017-08-24
203	ERR176485	ERR176485						Mycobacterium tuberculosis							draft	ENA SRA	ERR176485	11002		2	2	2014-12-12	2017-08-24
204	ERR176639	ERR176639						Mycobacterium tuberculosis							draft	ENA SRA	ERR176639	11003		2	2	2014-12-12	2017-08-24
205	ERR176823	ERR176823						Mycobacterium tuberculosis							draft	ENA SRA	ERR176823	11004		2	2	2014-12-12	2017-08-24
206	ERR181751	ERR181751						Mycobacterium tuberculosis							draft	ENA SRA	ERR181751	11005		2	2	2014-12-12	2017-08-24
207	ERR117645	ERR117645						Mycobacterium tuberculosis							draft	ENA SRA	ERR117645	11006		2	2	2014-12-12	2017-08-24
208	ERR181845	ERR181845						Mycobacterium tuberculosis							draft	ENA SRA	ERR181845	11007		2	2	2014-12-12	2017-08-24
209	ERR176715	ERR176715						Mycobacterium tuberculosis							draft	ENA SRA	ERR176715	11008		2	2	2014-12-12	2017-08-24
210	ERR176809	ERR176809						Mycobacterium tuberculosis							draft	ENA SRA	ERR176809	11009		2	-1	2014-12-12	2022-06-29
211	ERR072101	ERR072101						Mycobacterium tuberculosis							draft	ENA SRA	ERR072101	11010		2	2	2014-12-12	2017-08-24
212	ERR176687	ERR176687						Mycobacterium tuberculosis							draft	ENA SRA	ERR176687	11011		2	2	2014-12-12	2017-08-24
213	ERR164012	ERR164012						Mycobacterium tuberculosis							draft	ENA SRA	ERR164012	11012		2	2	2014-12-12	2017-08-24
214	ERR176666	ERR176666						Mycobacterium tuberculosis							draft	ENA SRA	ERR176666	11013		2	2	2014-12-12	2017-08-24
215	ERR163991	ERR163991						Mycobacterium tuberculosis							draft	ENA SRA	ERR163991	11014		2	2	2014-12-12	2017-08-10
216	ERR114449	ERR114449						Mycobacterium tuberculosis							draft	ENA SRA	ERR114449	11015		2	2	2014-12-12	2017-08-24
217	ERR072065	ERR072065						Mycobacterium tuberculosis							draft	ENA SRA	ERR072065	11016		2	2	2014-12-12	2017-08-24
218	ERR067633	ERR067633						Mycobacterium tuberculosis							draft	ENA SRA	ERR067633	11017		2	2	2014-12-12	2017-08-24
219	ERR181821	ERR181821						Mycobacterium tuberculosis							draft	ENA SRA	ERR181821	11018		2	2	2014-12-12	2017-08-24
220	ERR181984	ERR181984						Mycobacterium tuberculosis							draft	ENA SRA	ERR181984	11019		2	2	2014-12-12	2017-08-24
221	ERR176738	ERR176738						Mycobacterium tuberculosis							draft	ENA SRA	ERR176738	11020		2	2	2014-12-12	2017-08-24
222	ERR072036	ERR072036						Mycobacterium tuberculosis							draft	ENA SRA	ERR072036	11021		2	2	2014-12-12	2017-08-24
223	ERR072079	ERR072079						Mycobacterium tuberculosis							draft	ENA SRA	ERR072079	11022		2	2	2014-12-12	2017-08-24
224	ERR072068	ERR072068						Mycobacterium tuberculosis							draft	ENA SRA	ERR072068	11023		2	2	2014-12-12	2017-08-24
225	ERR072078	ERR072078						Mycobacterium tuberculosis							draft	ENA SRA	ERR072078	11024		2	2	2014-12-12	2017-08-24
226	ERR181834	ERR181834						Mycobacterium tuberculosis							draft	ENA SRA	ERR181834	11025		2	2	2014-12-12	2017-08-24
227	ERR176709	ERR176709						Mycobacterium tuberculosis							draft	ENA SRA	ERR176709	11026		2	2	2014-12-12	2017-08-24
228	ERR072058	ERR072058						Mycobacterium tuberculosis							draft	ENA SRA	ERR072058	11027		2	2	2014-12-12	2017-08-24
229	ERR181847	ERR181847						Mycobacterium tuberculosis							draft	ENA SRA	ERR181847	11028		2	2	2014-12-12	2017-08-24
230	ERR181812	ERR181812						Mycobacterium tuberculosis							draft	ENA SRA	ERR181812	11029		2	2	2014-12-12	2017-08-24
231	ERR176786	ERR176786						Mycobacterium tuberculosis							draft	ENA SRA	ERR176786	11030		2	2	2014-12-12	2017-08-24
232	ERR176703	ERR176703						Mycobacterium tuberculosis							draft	ENA SRA	ERR176703	11031		2	2	2014-12-12	2017-08-24
233	ERR117461	ERR117461						Mycobacterium tuberculosis							draft	ENA SRA	ERR117461	11032		2	2	2014-12-12	2017-08-24
234	ERR176678	ERR176678						Mycobacterium tuberculosis							draft	ENA SRA	ERR176678	11033		2	2	2014-12-12	2017-08-24
235	ERR181775	ERR181775						Mycobacterium tuberculosis							draft	ENA SRA	ERR181775	11034		2	2	2014-12-12	2017-08-24
236	ERR181787	ERR181787						Mycobacterium tuberculosis							draft	ENA SRA	ERR181787	11035		2	2	2014-12-12	2017-08-24
237	ERR176742	ERR176742						Mycobacterium tuberculosis							draft	ENA SRA	ERR176742	11036		2	2	2014-12-12	2017-08-24
238	ERR114441	ERR114441						Mycobacterium tuberculosis							draft	ENA SRA	ERR114441	11037		2	2	2014-12-12	2017-08-24
239	ERR114426	ERR114426						Mycobacterium tuberculosis							draft	ENA SRA	ERR114426	11038		2	2	2014-12-12	2017-08-24
240	ERR176712	ERR176712						Mycobacterium tuberculosis							draft	ENA SRA	ERR176712	11039		2	2	2014-12-12	2017-08-24
241	ERR176657	ERR176657						Mycobacterium tuberculosis							draft	ENA SRA	ERR176657	11040		2	2	2014-12-12	2017-08-24
242	ERR181967	ERR181967						Mycobacterium tuberculosis							draft	ENA SRA	ERR181967	11041		2	2	2014-12-12	2017-08-10
243	ERR176649	ERR176649						Mycobacterium tuberculosis							draft	ENA SRA	ERR176649	11042		2	2	2014-12-12	2017-08-24
244	ERR072016	ERR072016						Mycobacterium tuberculosis							draft	ENA SRA	ERR072016	11043		2	2	2014-12-12	2017-08-08
245	ERR163939	ERR163939						Mycobacterium tuberculosis							draft	ENA SRA	ERR163939	11044		2	2	2014-12-12	2017-08-24
246	ERR161077	ERR161077						Mycobacterium tuberculosis							draft	ENA SRA	ERR161077	11045		2	2	2014-12-12	2017-08-24
247	ERR176755	ERR176755						Mycobacterium tuberculosis							draft	ENA SRA	ERR176755	11046		2	2	2014-12-12	2017-08-24
248	ERR181780	ERR181780						Mycobacterium tuberculosis							draft	ENA SRA	ERR181780	11047		2	2	2014-12-12	2017-08-24
249	ERR176702	ERR176702						Mycobacterium tuberculosis							draft	ENA SRA	ERR176702	11048		2	2	2014-12-12	2017-08-24
250	ERR176693	ERR176693						Mycobacterium tuberculosis							draft	ENA SRA	ERR176693	11049		2	2	2014-12-12	2017-08-24
251	ERR181973	ERR181973						Mycobacterium tuberculosis							draft	ENA SRA	ERR181973	11050		2	-1	2014-12-12	2022-06-29
252	ERR181725	ERR181725						Mycobacterium tuberculosis							draft	ENA SRA	ERR181725	11051		2	2	2014-12-12	2017-08-24
253	ERR114469	ERR114469						Mycobacterium tuberculosis							draft	ENA SRA	ERR114469	11052		2	2	2014-12-12	2017-08-24
254	ERR072104	ERR072104						Mycobacterium tuberculosis							draft	ENA SRA	ERR072104	11053		2	2	2014-12-12	2017-08-24
255	ERR072077	ERR072077						Mycobacterium tuberculosis							draft	ENA SRA	ERR072077	11054		2	2	2014-12-12	2017-08-24
256	ERR072066	ERR072066						Mycobacterium tuberculosis							draft	ENA SRA	ERR072066	11055		2	2	2014-12-12	2017-08-24
257	ERR181896	ERR181896						Mycobacterium tuberculosis							draft	ENA SRA	ERR181896	11056		2	2	2014-12-12	2017-08-24
258	ERR171164	ERR171164						Mycobacterium tuberculosis							draft	ENA SRA	ERR171164	11057		2	2	2014-12-12	2017-08-24
259	ERR182009	ERR182009						Mycobacterium tuberculosis							draft	ENA SRA	ERR182009	11058		2	2	2014-12-12	2017-08-24
260	ERR176808	ERR176808						Mycobacterium tuberculosis							draft	ENA SRA	ERR176808	11059		2	2	2014-12-12	2017-08-10
261	ERR072082	ERR072082						Mycobacterium tuberculosis							draft	ENA SRA	ERR072082	11060		2	2	2014-12-12	2017-08-10
262	ERR181811	ERR181811						Mycobacterium tuberculosis							draft	ENA SRA	ERR181811	11061		2	2	2014-12-12	2017-08-24
263	ERR117668	ERR117668						Mycobacterium tuberculosis							draft	ENA SRA	ERR117668	11062		2	2	2014-12-12	2017-08-24
264	ERR114460	ERR114460						Mycobacterium tuberculosis							draft	ENA SRA	ERR114460	11063		2	2	2014-12-12	2017-08-24
265	ERR181714	ERR181714						Mycobacterium tuberculosis							draft	ENA SRA	ERR181714	11064		2	2	2014-12-12	2017-08-24
266	ERR072083	ERR072083						Mycobacterium tuberculosis							draft	ENA SRA	ERR072083	11065		2	2	2014-12-12	2017-08-10
267	ERR072081	ERR072081						Mycobacterium tuberculosis							draft	ENA SRA	ERR072081	11066		2	2	2014-12-12	2017-08-24
268	ERR181810	ERR181810						Mycobacterium tuberculosis							draft	ENA SRA	ERR181810	11067		2	2	2014-12-12	2017-08-24
269	ERR072069	ERR072069						Mycobacterium tuberculosis							draft	ENA SRA	ERR072069	11068		2	2	2014-12-12	2017-08-24
270	ERR181711	ERR181711						Mycobacterium tuberculosis							draft	ENA SRA	ERR181711	11069		2	2	2014-12-12	2017-08-24
271	ERR181823	ERR181823						Mycobacterium tuberculosis							draft	ENA SRA	ERR181823	11070		2	2	2014-12-12	2017-08-24
272	ERR181861	ERR181861						Mycobacterium tuberculosis							draft	ENA SRA	ERR181861	11071		2	2	2014-12-12	2017-08-24
273	ERR176765	ERR176765						Mycobacterium tuberculosis							draft	ENA SRA	ERR176765	11072		2	2	2014-12-12	2017-08-24
274	ERR176794	ERR176794						Mycobacterium tuberculosis							draft	ENA SRA	ERR176794	11073		2	2	2014-12-12	2017-08-24
275	ERR176664	ERR176664						Mycobacterium tuberculosis							draft	ENA SRA	ERR176664	11074		2	2	2014-12-12	2017-08-24
276	ERR072067	ERR072067						Mycobacterium tuberculosis							draft	ENA SRA	ERR072067	11075		2	2	2014-12-12	2017-08-24
277	ERR072055	ERR072055						Mycobacterium tuberculosis							draft	ENA SRA	ERR072055	11076		2	2	2014-12-12	2017-08-24
278	ERR182020	ERR182020						Mycobacterium tuberculosis							draft	ENA SRA	ERR182020	11077		2	2	2014-12-12	2017-08-24
279	ERR176729	ERR176729						Mycobacterium tuberculosis							draft	ENA SRA	ERR176729	11078		2	2	2014-12-12	2017-08-24
280	ERR181777	ERR181777						Mycobacterium tuberculosis							draft	ENA SRA	ERR181777	11079		2	2	2014-12-12	2017-08-24
281	ERR114443	ERR114443						Mycobacterium tuberculosis							draft	ENA SRA	ERR114443	11080		2	2	2014-12-12	2017-08-24
282	ERR072105	ERR072105						Mycobacterium tuberculosis							draft	ENA SRA	ERR072105	11081		2	2	2014-12-12	2017-08-10
283	ERR176788	ERR176788						Mycobacterium tuberculosis							draft	ENA SRA	ERR176788	11082		2	2	2014-12-12	2017-08-24
284	ERR117657	ERR117657						Mycobacterium tuberculosis							draft	ENA SRA	ERR117657	11083		2	2	2014-12-12	2017-08-24
285	ERR067701	ERR067701						Mycobacterium tuberculosis							draft	ENA SRA	ERR067701	11084		2	2	2014-12-12	2017-08-24
286	ERR161124	ERR161124						Mycobacterium tuberculosis							draft	ENA SRA	ERR161124	11085		2	2	2014-12-12	2017-08-24
287	ERR181986	ERR181986						Mycobacterium tuberculosis							draft	ENA SRA	ERR181986	11086		2	2	2014-12-12	2017-08-24
288	ERR181826	ERR181826						Mycobacterium tuberculosis							draft	ENA SRA	ERR181826	11087		2	2	2014-12-12	2017-08-10
289	ERR181789	ERR181789						Mycobacterium tuberculosis							draft	ENA SRA	ERR181789	11088		2	2	2014-12-12	2017-08-24
290	ERR072020	ERR072020						Mycobacterium tuberculosis							draft	ENA SRA	ERR072020	11089		2	2	2014-12-12	2017-08-24
291	ERR161123	ERR161123						Mycobacterium tuberculosis							draft	ENA SRA	ERR161123	11090		2	2	2014-12-12	2017-08-24
292	ERR123934	ERR123934						Mycobacterium tuberculosis							draft	ENA SRA	ERR123934	11091		2	2	2014-12-12	2017-08-24
293	ERR176660	ERR176660						Mycobacterium tuberculosis							draft	ENA SRA	ERR176660	11092		2	2	2014-12-12	2017-08-24
294	ERR181891	ERR181891						Mycobacterium tuberculosis							draft	ENA SRA	ERR181891	11093		2	2	2014-12-12	2017-08-24
295	ERR181858	ERR181858						Mycobacterium tuberculosis							draft	ENA SRA	ERR181858	11094		2	2	2014-12-12	2017-08-24
296	ERR171167	ERR171167						Mycobacterium tuberculosis							draft	ENA SRA	ERR171167	11095		2	2	2014-12-12	2017-08-24
297	ERR123948	ERR123948						Mycobacterium tuberculosis							draft	ENA SRA	ERR123948	11096		2	2	2014-12-12	2017-08-24
298	ERR181754	ERR181754						Mycobacterium tuberculosis							draft	ENA SRA	ERR181754	11097		2	2	2014-12-12	2017-08-24
299	ERR181728	ERR181728						Mycobacterium tuberculosis							draft	ENA SRA	ERR181728	11098		2	2	2014-12-12	2017-08-24
300	ERR181680	ERR181680						Mycobacterium tuberculosis							draft	ENA SRA	ERR181680	11099		2	2	2014-12-12	2017-08-24
301	ERR176654	ERR176654						Mycobacterium tuberculosis							draft	ENA SRA	ERR176654	11100		2	2	2014-12-12	2017-08-24
302	ERR176713	ERR176713						Mycobacterium tuberculosis							draft	ENA SRA	ERR176713	11101		2	2	2014-12-12	2017-08-24
303	ERR181920	ERR181920						Mycobacterium tuberculosis							draft	ENA SRA	ERR181920	11102		2	2	2014-12-12	2017-08-24
304	ERR176753	ERR176753						Mycobacterium tuberculosis							draft	ENA SRA	ERR176753	11103		2	2	2014-12-12	2017-08-24
305	ERR176679	ERR176679						Mycobacterium tuberculosis							draft	ENA SRA	ERR176679	11104		2	2	2014-12-12	2017-08-24
306	ERR176814	ERR176814						Mycobacterium tuberculosis							draft	ENA SRA	ERR176814	11105		2	2	2014-12-12	2017-08-24
307	ERR176691	ERR176691						Mycobacterium tuberculosis							draft	ENA SRA	ERR176691	11106		2	2	2014-12-12	2017-08-24
308	ERR114450	ERR114450						Mycobacterium tuberculosis							draft	ENA SRA	ERR114450	11107		2	2	2014-12-12	2017-08-08
309	ERR114474	ERR114474						Mycobacterium tuberculosis							draft	ENA SRA	ERR114474	11108		2	2	2014-12-12	2017-08-24
310	ERR117670	ERR117670						Mycobacterium tuberculosis							draft	ENA SRA	ERR117670	11109		2	2	2014-12-12	2017-08-08
311	ERR117632	ERR117632						Mycobacterium tuberculosis							draft	ENA SRA	ERR117632	11110		2	2	2014-12-12	2017-08-24
312	ERR163976	ERR163976						Mycobacterium tuberculosis							draft	ENA SRA	ERR163976	11111		2	2	2014-12-12	2017-08-24
313	ERR176689	ERR176689						Mycobacterium tuberculosis							draft	ENA SRA	ERR176689	11112		2	2	2014-12-12	2017-08-24
314	ERR181822	ERR181822						Mycobacterium tuberculosis							draft	ENA SRA	ERR181822	11113		2	2	2014-12-12	2017-08-24
315	ERR176701	ERR176701						Mycobacterium tuberculosis							draft	ENA SRA	ERR176701	11114		2	2	2014-12-12	2017-08-24
316	ERR181690	ERR181690						Mycobacterium tuberculosis							draft	ENA SRA	ERR181690	11115		2	2	2014-12-12	2017-08-24
317	ERR181949	ERR181949						Mycobacterium tuberculosis							draft	ENA SRA	ERR181949	11116		2	2	2014-12-12	2017-08-24
318	ERR067642	ERR067642						Mycobacterium tuberculosis							draft	ENA SRA	ERR067642	11117		2	2	2014-12-12	2017-08-24
319	ERR176683	ERR176683						Mycobacterium tuberculosis							draft	ENA SRA	ERR176683	11118		2	2	2014-12-12	2017-08-24
320	ERR114436	ERR114436						Mycobacterium tuberculosis							draft	ENA SRA	ERR114436	11119		2	2	2014-12-12	2017-08-24
321	ERR123942	ERR123942						Mycobacterium tuberculosis							draft	ENA SRA	ERR123942	11120		2	2	2014-12-12	2017-08-24
322	ERR181918	ERR181918						Mycobacterium tuberculosis							draft	ENA SRA	ERR181918	11121		2	2	2014-12-12	2017-08-24
323	ERR117619	ERR117619						Mycobacterium tuberculosis							draft	ENA SRA	ERR117619	11122		2	2	2014-12-12	2017-08-11
324	ERR181899	ERR181899						Mycobacterium tuberculosis							draft	ENA SRA	ERR181899	11123		2	2	2014-12-12	2017-08-24
325	ERR117641	ERR117641						Mycobacterium tuberculosis							draft	ENA SRA	ERR117641	11124		2	2	2014-12-12	2017-08-24
326	ERR176733	ERR176733						Mycobacterium tuberculosis							draft	ENA SRA	ERR176733	11125		2	2	2014-12-12	2017-08-10
327	ERR117691	ERR117691						Mycobacterium tuberculosis							draft	ENA SRA	ERR117691	11126		2	-1	2014-12-12	2022-06-29
328	ERR176752	ERR176752						Mycobacterium tuberculosis							draft	ENA SRA	ERR176752	11127		2	2	2014-12-12	2017-08-24
329	ERR176656	ERR176656						Mycobacterium tuberculosis							draft	ENA SRA	ERR176656	11128		2	2	2014-12-12	2017-08-24
330	ERR181752	ERR181752						Mycobacterium tuberculosis							draft	ENA SRA	ERR181752	11129		2	2	2014-12-12	2017-08-24
331	ERR181778	ERR181778						Mycobacterium tuberculosis							draft	ENA SRA	ERR181778	11130		2	2	2014-12-12	2017-08-24
332	ERR182025	ERR182025						Mycobacterium tuberculosis							draft	ENA SRA	ERR182025	11131		2	2	2014-12-12	2017-08-10
333	ERR176731	ERR176731						Mycobacterium tuberculosis							draft	ENA SRA	ERR176731	11132		2	2	2014-12-12	2017-08-24
334	ERR144599	ERR144599						Mycobacterium tuberculosis							draft	ENA SRA	ERR144599	11133		2	2	2014-12-12	2017-08-24
335	ERR181745	ERR181745						Mycobacterium tuberculosis							draft	ENA SRA	ERR181745	11134		2	2	2014-12-12	2017-08-24
336	ERR114503	ERR114503						Mycobacterium tuberculosis							draft	ENA SRA	ERR114503	11135		2	2	2014-12-12	2017-08-24
337	ERR181975	ERR181975						Mycobacterium tuberculosis							draft	ENA SRA	ERR181975	11136		2	2	2014-12-12	2017-08-24
338	ERR114439	ERR114439						Mycobacterium tuberculosis							draft	ENA SRA	ERR114439	11137		2	2	2014-12-12	2017-08-24
339	ERR114510	ERR114510						Mycobacterium tuberculosis							draft	ENA SRA	ERR114510	11138		2	2	2014-12-12	2017-08-24
340	ERR161142	ERR161142						Mycobacterium tuberculosis							draft	ENA SRA	ERR161142	11139		2	2	2014-12-12	2017-08-10
341	ERR181912	ERR181912						Mycobacterium tuberculosis							draft	ENA SRA	ERR181912	11140		2	2	2014-12-12	2017-08-24
342	ERR161036	ERR161036						Mycobacterium tuberculosis							draft	ENA SRA	ERR161036	11141		2	2	2014-12-12	2017-08-24
343	ERR176704	ERR176704						Mycobacterium tuberculosis							draft	ENA SRA	ERR176704	11142		2	2	2014-12-12	2017-08-24
344	ERR181692	ERR181692						Mycobacterium tuberculosis							draft	ENA SRA	ERR181692	11143		2	2	2014-12-12	2017-08-24
345	ERR181964	ERR181964						Mycobacterium tuberculosis							draft	ENA SRA	ERR181964	11144		2	2	2014-12-12	2017-08-10
346	ERR171155	ERR171155						Mycobacterium tuberculosis							draft	ENA SRA	ERR171155	11145		2	2	2014-12-12	2017-08-24
347	ERR161029	ERR161029						Mycobacterium tuberculosis							draft	ENA SRA	ERR161029	11146		2	2	2014-12-12	2017-08-24
348	ERR161175	ERR161175						Mycobacterium tuberculosis							draft	ENA SRA	ERR161175	11147		2	2	2014-12-12	2017-08-24
349	ERR176714	ERR176714						Mycobacterium tuberculosis							draft	ENA SRA	ERR176714	11148		2	2	2014-12-12	2017-08-24
350	ERR176526	ERR176526						Mycobacterium tuberculosis							draft	ENA SRA	ERR176526	11149		2	2	2014-12-12	2017-08-24
351	ERR182000	ERR182000						Mycobacterium tuberculosis							draft	ENA SRA	ERR182000	11150		2	2	2014-12-12	2017-08-24
352	ERR181910	ERR181910						Mycobacterium tuberculosis							draft	ENA SRA	ERR181910	11151		2	2	2014-12-12	2017-08-24
